"","rank","game_id","min_players","max_players","avg_time","min_time","max_time","year","avg_rating","geek_rating","num_votes","age","owned","weight","catSplit_Exploration","catSplit_Fantasy","catSplit_Fighting","catSplit_Miniatures","catSplit_Economic","catSplit_Political","catSplit_Wargame","catSplit_Science Fiction","catSplit_Territory Building","catSplit_Card Game","catSplit_Medieval","catSplit_Dice","catSplit_Deduction","catSplit_Party Game","catSplit_Negotiation","catSplit_Real-time","catSplit_World War II","catSplit_Humor","mechSplit_Grid Movement","mechSplit_Hand Management","mechSplit_Modular Board","mechSplit_Simultaneous Action Selection","mechSplit_Point to Point Movement","mechSplit_Set Collection","mechSplit_Variable Player Powers","mechSplit_Card Drafting","mechSplit_Dice Rolling","mechSplit_Tile Placement","mechSplit_Area Movement","mechSplit_Route/Network Building","mechSplit_Worker Placement","mechSplit_Deck / Pool Building","mechSplit_Partnerships","mechSplit_Press Your Luck","mechSplit_Secret Unit Deployment","mechSplit_Pick-up and Deliver","mechSplit_Hex-and-Counter","mechSplit_Take That","mechSplit_Simulation"
"1",1,174430,1,4,150,90,150,2017,9.0131,8.52234,9841,12,18217,3.772,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",100,54043,2,2,30,30,30,2009,7.53554,7.41329,22311,12,30786,1.527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1000,620,2,2,120,120,120,1993,7.32494,6.41838,1073,12,1565,2.7226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",1001,71906,1,4,120,120,120,2013,7.11482,6.41799,1483,12,2269,3.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"6",1002,42124,1,2,60,60,60,2009,7.34472,6.41769,1081,10,2282,3.2697,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"7",1003,84,2,2,150,150,150,1982,7.51293,6.416,903,12,1884,3.4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9",1005,3955,4,7,40,20,40,2002,6.54306,6.41472,21116,8,24402,1.6381,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"10",1006,1829,2,5,240,240,240,2001,6.70327,6.41454,6000,10,10050,2.7201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"11",1007,21954,3,5,120,120,120,2006,6.94692,6.41374,1782,13,2591,3.2751,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"12",1008,33451,2,4,45,45,45,2008,6.90818,6.41276,2277,13,4419,1.8229,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1009,56931,2,2,45,30,45,2009,6.93692,6.41223,1819,8,2595,1.9286,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",1012,23679,2,2,180,180,180,2008,7.41314,6.40918,941,12,1809,2.6319,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",1013,38386,2,4,60,60,60,2008,6.76616,6.40874,2729,10,2997,2.7993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
