gameid,gamename,nratings,gamerank
13,Catan,79696,293
822,Carcassonne,79266,137
30549,Pandemic,76848,74
36218,Dominion,64585,73
68448,7 Wonders,63649,43
9209,Ticket to Ride,56664,129
31260,Agricola,54558,19
3076,Puerto Rico,53923,15
40692,Small World,50603,193
2651,Power Grid,47669,32
70323,King of Tokyo,45067,232
178900,Codenames,44770,48
129622,Love Letter,43757,219
14996,Ticket to Ride: Europe,43558,92
478,Citadels,42023,332
148228,Splendor,40576,121
28143,Race for the Galaxy,38672,47
39856,Dixit,38278,200
34635,Stone Age,35835,79
110327,Lords of Waterdeep,35823,53
173346,7 Wonders Duel,34712,13
1927,Munchkin,33868,3535
84876,The Castles of Burgundy,33172,12
15987,Arkham Horror,33114,245
65244,Forbidden Island,32779,606
169786,Scythe,32314,7
12333,Twilight Struggle,32221,5
11,Bohnanza,32050,380
50,Lost Cities,30323,297
120677,Terra Mystica,30318,9
150376,Dead of Winter: A Crossroads Game,30130,68
41114,The Resistance,30085,185
167791,Terraforming Mars,29772,4
98778,Hanabi,29609,289
163412,Patchwork,29197,58
37111,Battlestar Galactica: The Board Game,28603,62
10547,Betrayal at House on the Hill,27882,437
161936,Pandemic Legacy: Season 1,27559,2
131357,Coup,26648,392
463,Magic: The Gathering,26347,149
40834,Dominion: Intrigue,25935,59
70919,Takenoko,25710,218
147020,Star Realms,25583,88
54043,Jaipur,25282,111
181,Risk,24888,15262
121921,Robinson Crusoe: Adventures on the Cursed Island,24207,39
31481,Galaxy Trucker,24113,132
6249,Alhambra,24068,401
133473,Sushi Go!,24003,356
18602,Caylus,23826,46
2655,Hive,23417,206
124742,Android: Netrunner,23336,42
157354,Five Tribes,23298,55
72125,Eclipse,23077,36
171,Chess,23034,413
15062,Shadows Over Camelot,22671,331
39463,Cosmic Encounter,22636,104
170216,Blood Rage,22418,24
42,Tigris & Euphrates,22305,71
126163,Tzolk'in: The Mayan Calendar,22300,38
1406,Monopoly,22212,15954
3955,BANG!,22202,1053
103343,A Game of Thrones: The Board Game (Second Edition),22195,85
96848,Mage Knight Board Game,22136,20
102794,Caverna: The Cave Farmers,21903,16
35677,Le Havre,21892,40
320,Scrabble,21844,1544
10630,Memoir '44,21577,116
146021,Eldritch Horror,21514,49
157969,Sheriff of Nottingham,21322,255
18,RoboRally,20746,347
128882,The Resistance: Avalon,20556,87
93,El Grande,20397,57
8217,San Juan,20148,233
181304,Mysterium,20043,168
103885,Star Wars: X-Wing Miniatures Game,19873,66
9220,Saboteur,19647,879
143884,Machi Koro,19608,770
132531,Roll for the Galaxy,19542,60
122522,Smash Up,19252,652
136063,Forbidden Desert,19176,271
2453,Blokus,19032,542
174430,Gloomhaven,18578,1
16992,Tsuro,18538,793
172,For Sale,18461,263
100423,Elder Sign,18220,473
104162,Descent: Journeys in the Dark (Second Edition),18014,78
50381,Cards Against Humanity,17977,2569
123260,Suburbia,17828,96
148949,Istanbul,17671,90
155426,Castles of Mad King Ludwig,17386,84
77423,The Lord of the Rings: The Card Game,17223,109
116,Guillotine,17089,1013
8203,"Hey, That's My Fish!",16885,691
158899,Colt Express,16872,311
12,Ra,16858,134
153938,Camel Up,16854,390
100901,Flash Point: Fire Rescue,16829,262
146508,T.I.M.E Stories,16802,56
12493,Twilight Imperium (Third Edition),16760,50
12942,No Thanks!,16742,395
27162,Kingsburg,16715,275
124361,Concordia,16652,22
230802,Azul,16633,37
37046,Ghost Stories,16575,199
5,Acquire,16509,213
108745,Seasons,16498,164
25613,Through the Ages: A Story of Civilization,16497,30
104006,Village,16288,115
2653,Survive: Escape from Atlantis!,16254,235
21790,Thurn and Taxis,16230,353
154203,Imperial Settlers,16014,136
74,Apples to Apples,15845,3368
129437,Legendary: A Marvel Deck Building Game,15827,128
107529,Kingdom Builder,15781,463
2223,UNO,15610,15850
54,Tikal,15454,211
204583,Kingdomino,15312,184
5782,Coloretto,15287,492
147949,One Night Ultimate Werewolf,15286,283
193738,Great Western Trail,15221,10
164153,Star Wars: Imperial Assault,15217,29
122515,Keyflower,14763,44
62219,Dominant Species,14713,52
123540,Tokaido,14527,449
24480,The Pillars of the Earth,14419,237
54998,Cyclades,14418,135
187645,Star Wars: Rebellion,14380,6
432,6 nimmt!,14291,592
143741,BANG! The Dice Game,14274,480
1294,Clue,14250,7868
37904,Formula D,14153,444
166384,Spyfall,14044,435
9674,Ingenious,13950,339
73439,Troyes,13890,67
15512,Diamant,13872,633
555,The Princes of Florence,13823,124
164928,Orléans,13772,25
258,Fluxx,13763,6854
62871,Zombie Dice,13748,1738
205637,Arkham Horror: The Card Game,13721,17
205059,Mansions of Madness: Second Edition,13656,23
176494,Isle of Skye: From Chieftain to King,13629,155
171623,The Voyages of Marco Polo,13615,41
183394,Viticulture Essential Edition,13598,18
760,Battle Line,13536,186
182028,Through the Ages: A New Story of Civilization,13407,3
124708,Mice and Mystics,13391,226
113294,Escape: The Curse of the Temple,13385,431
118,Modern Art,13342,225
2471,Zombies!!!,13307,4720
161970,Alchemists,13289,82
113924,Zombicide,13288,346
201808,Clank!: A Deck-Building Adventure,13216,61
194655,Santorini,13212,77
9217,Saint Petersburg,13177,236
38453,Space Alert,13121,157
21763,Mr. Jack,13062,425
3,Samurai,12992,178
