"","username","gameid","rating"
"580","Larry Chong",104347,7
"99","bluekingzog",25613,10
"137","Bundyman",35497,6.5
"584","laycelin",47,8
"383","gixmo",20551,3
"1024","vincivader",75449,8.5
"344","fnord23",37400,5.5
"608","Luke the Flaming",7,4
"904","steadzy",168679,6
"131","Brandebard",31730,5
"747","phunlvr",5,9
"197","chriswray84",132372,6
"714","oopsiak",199478,7
"116","Bond8089",27162,8
"106","BoardGamer2008",164153,10
"261","dixijo",168679,7
"896","starfix",36218,6
"561","killjoy00",39463,8
"1066","worol",139976,6
"678","Nap16",111341,7
"226","danielcs",115746,10
"80","Benjaminviking",181,5
"627","MarkEJohnson",157809,8
"673","n_and",635,6.5
"356","fs1973",46255,7.3
"759","Polgara",172381,8
"957","texasgeoker",162007,7
"1028","Walt Mulder",2397,7
"541","jrachfal",63759,6.5
"548","jumatake",128671,6
"342","Florian Sohns",5404,5
"864","Siyano",160499,5
"1019","Vexatious",2651,7.5
"918","sthforever",23686,7
"533","Jooor",20551,7
"251","Desiderata",43111,7
"489","jcarvin",5895,5
"132","brianeikunst",7717,5
"327","FakeDutch",175621,6
"979","tobywan",40765,7
"893","Squeezel",230080,6.5
"752","piotrsmu",15511,5.5
"227","danperrault",105,6.3
"601","lorna",8125,7
"588","Legomancer",73439,6
"497","jgoyes",2136,2
"931","sumo",201808,7
"1079","ytter",19600,7
"75","Belash",183840,7.5
"166","casualgod",148228,9
"981","Tolkana",3076,10
"1069","xmaster05",54625,6
"718","ousgg",24762,7
"466","itiswon",1117,6.5
"569","kreikkaturkulainen",28023,7
"547","jumatake",67185,6
"428","Hiroshi Urayama",11971,4
"1075","yencool",2842,8
"755","pitonowie",151247,6
"790","raile",12,6
"724","pboivin",27162,7.7
"913","Stephen Glenn",19999,6
"248","deltarn",22825,6
"779","PzVIE",19,7
"169","Cavedog_pdx",180852,6
"62","averagerating",15318,6.6
"463","imoneox",7,6
"149","calvo",171623,8
"731","pennuto77",128621,8
"727","PBrennan",43111,7
"108","boardmathias",7688,4
"632","matchbox1202",21632,7.15
"912","steinhauser",8098,6
"990","Toph",27173,5
"740","PhasingPlayer",59959,7
"766","PrivateMeggido",50,8
"301","electricvomit",54043,5
"771","punkin312",112138,8
"1083","yvesvanherp",153065,7
"1086","Zaki",187645,10
"81","BenRon",58281,6.8
"799","Red Wine Pie",136991,7
"726","PBrennan",2507,6
"1015","vejrum",65901,7
"559","kgnunn",12962,8
"329","faqtotum",93,9
"605","LucyJo",23730,6
"319","exparrot",38548,7
"552","Karmic_devil",805,7
"642","mcreaghe",714,5
"373","garrylloyd",165950,7
"423","Hiko Bunta",5716,7
"880","Spatulaguy",67239,7
"930","sufertashu",50381,4
"1090","zastrygon",148949,7.5
"534","JoSch",104020,6
"53","Arkeo",137269,7.5
"471","jamessinden",173346,9
"348","Forza",30549,8
"1022","Vexatious",28620,8
"82","BenRon",217449,7.4
"1057","wkusau",41,7
"174","cblack0215",97842,7.5
"310","enzo622",39953,3
"542","jrachfal",183840,7
"1009","ultreia",121921,9
"852","Shnik",31481,7.8
"279","DrGrayrock",91523,7
"91","bijanajamlou",57390,6
"442","Hubajube",173,6
"1034","Wargriff",160851,5
"232","darmion",380,7.5
"398","gotonao",70149,6.5
"1039","we3die",6830,9.41
"101","BlueTorch",102794,7
"503","JinRoh",24480,7
"222","DamonH",126163,7
"246","dekedagger",168609,7
"323","fabio",232219,7
"300","El-ahrairah",101721,8
"223","damonstea",1258,4.5
"392","goldengamer",81453,6
"1025","vladdswrath",146439,6
"935","sveinmain",123096,7
"845","shannona",38548,9
"871","Skyjack",38453,7
"481","JAskier",179572,6
"599","Lone Ranger",1897,7.5
"1052","William Donks",113294,6.5
"479","jaredh",31481,3
"427","Hirian",127997,6
"910","StefanvM1",122298,8
"292","Earl of Dukes",244992,7
"613","madchow",1231,7
"304","eluvitar",108745,8.5
"1031","Walt Mulder",73439,7.4
"823","runenwolf",185589,8
"278","DrFace",69120,6
"65","badweasel",9674,6
"45","AndySzy",218603,6
"697","Norbert Chan",155703,7
"967","thoia",215,4
"619","Maja Dorn",117915,4
"58","Atimati",145189,6
"55","asterix50",10,7
"171","cberg",1544,8
"88","BGDigger",170,5
"103","bnordeng",2381,4
"869","skifreak737",15363,7
"668","murksofus",79828,7
"577","Landon",144344,6.5
"221","DamonH",123499,6
"777","pyr-shep",140603,7
"43","Andy Mesa",183840,7
"152","CandaceW",5404,6
"1092","zd2046",28089,7.2
"795","RandomGraham",715,4
"662","moramis",145659,3
"286","duckworp",234487,6.5
"976","tiggers",163967,8
"837","scand1sk",1293,6
"862","Siyano",42776,5
"370","Garau",124742,7
"1035","warta",27710,7
"345","forgotmypencil",15987,5
"1020","Vexatious",2653,8
"192","CharlieWonka",69789,7
"809","rizkar",92319,7
"1080","ytter",106662,8
"194","Cheesechick",90419,6
"675","Nap16",1915,7
